日期,关键词,当天出现总次数,,,,,,,,,,,,,,,,,
20250102,新闻数量,1,,,,,,,,,,,,,,,,,
20250103,新闻数量,2,,,求和项:当天出现总次数,关键词,,,,,,,,,,,,,
20250109,新闻数量,2,,,日期,抽水蓄能,储能,电动汽车,电化学储能,多能互补,节能,能效,氢能,碳达峰,碳中和,新型电力系统,虚拟电厂,(空白),总计
20251029,新闻数量,1,,,,,,,,,,,,,,,,,
20251030,新闻数量,3,,,,,,,,,,,,,,,,,
20251031,新闻数量,2,,,,,,,,,,,,,,,,,
20251103,新闻数量,2,,,,,,,,,,,,,,,,,
20251104,新闻数量,1,,,,,,,,,,,,,,,,,
20251105,新闻数量,2,,,,,,,,,,,,,,,,,
20251106,新闻数量,2,,,,,,,,,,,,,,,,,
20251108,新闻数量,6,,,,,,,,,,,,,,,,,
20251110,新闻数量,2,,,,,,,,,,,,,,,,,
20251111,新闻数量,3,,,,,,,,,,,,,,,,,
20251114,新闻数量,2,,,,,,,,,,,,,,,,,
20251118,新闻数量,1,,,,,,,,,,,,,,,,,
20251119,新闻数量,1,,,,,,,,,,,,,,,,,
20251120,新闻数量,5,,,,,,,,,,,,,,,,,
20251121,新闻数量,1,,,,,,,,,,,,,,,,,
20251122,新闻数量,2,,,,,,,,,,,,,,,,,
20251123,新闻数量,1,,,,,,,,,,,,,,,,,
20251125,新闻数量,1,,,,,,,,,,,,,,,,,
20251128,新闻数量,3,,,,,,,,,,,,,,,,,
20251129,新闻数量,2,,,,,,,,,,,,,,,,,
20251130,新闻数量,1,,,,,,,,,,,,,,,,,
20251201,新闻数量,1,,,,,,,,,,,,,,,,,
20251203,新闻数量,1,,,,,,,,,,,,,,,,,
20251204,新闻数量,3,,,,,,,,,,,,,,,,,
20251205,新闻数量,3,,,,,,,,,,,,,,,,,
20251206,新闻数量,1,,,,,,,,,,,,,,,,,
20251207,新闻数量,1,,,,,,,,,,,,,,,,,
20251208,新闻数量,4,,,,,,,,,,,,,,,,,
20251209,新闻数量,1,,,,,,,,,,,,,,,,,
20251211,新闻数量,4,,,,,,,,,,,,,,,,,
20251213,新闻数量,1,,,,,,,,,,,,,,,,,
20251214,新闻数量,1,,,,,,,,,,,,,,,,,
20251215,新闻数量,2,,,,,,,,,,,,,,,,,
20251216,新闻数量,2,,,,,,,,,,,,,,,,,
20251217,新闻数量,1,,,,,,,,,,,,,,,,,
20251218,新闻数量,2,,,,,,,,,,,,,,,,,
20251219,新闻数量,2,,,,,,,,,,,,,,,,,
20251223,新闻数量,3,,,,,,,,,,,,,,,,,
20251224,新闻数量,1,,,,,,,,,,,,,,,,,
20251225,新闻数量,2,,,,,,,,,,,,,,,,,
20251229,新闻数量,2,,,,,,,,,,,,,,,,,
20251231,新闻数量,4,,,,,,,,,,,,,,,,,
20250109,氢能,1,,,,,,,,,,,,,,,,,
20250117,抽水蓄能,1,,,,,,,,,,,,,,,,,
20250119,电动汽车,1,,,,,,,,,,,,,,,,,
20250124,氢能,1,,,,,,,,,,,,,,,,,
20250127,多能互补,1,,,,,,,,,,,,,,,,,
20250127,储能,1,,,,,,,,,,,,,,,,,
20250207,储能,1,,,,,,,,,,,,,,,,,
20250218,氢能,2,,,,,,,,,,,,,,,,,
20250218,氢能,2,,,,,,,,,,,,,,,,,
20250218,储能,2,,,,,,,,,,,,,,,,,
20250218,储能,2,,,,,,,,,,,,,,,,,
20250223,储能,1,,,,,,,,,,,,,,,,,
20250223,虚拟电厂,1,,,,,,,,,,,,,,,,,
20250224,新型电力系统,1,,,,,,,,,,,,,,,,,
20250226,虚拟电厂,1,,,,,,,,,,,,,,,,,
20250401,多能互补,1,,,,,,,,,,,,,,,,,
20250401,节能,1,,,,,,,,,,,,,,,,,
20250411,储能,1,,,,,,,,,,,,,,,,,
20250422,碳中和,1,,,,,,,,,,,,,,,,,
20250422,碳达峰,1,,,,,,,,,,,,,,,,,
20250506,储能,1,,,,,,,,,,,,,,,,,
20250506,虚拟电厂,1,,,,,,,,,,,,,,,,,
20250521,抽水蓄能,6,,,,,,,,,,,,,,,,,
20250521,抽水蓄能,6,,,,,,,,,,,,,,,,,
20250521,抽水蓄能,6,,,,,,,,,,,,,,,,,
20250521,抽水蓄能,6,,,,,,,,,,,,,,,,,
20250521,抽水蓄能,6,,,,,,,,,,,,,,,,,
20250521,新型电力系统,1,,,,,,,,,,,,,,,,,
20250521,抽水蓄能,6,,,,,,,,,,,,,,,,,
20250523,氢能,1,,,,,,,,,,,,,,,,,
20250523,电化学储能,1,,,,,,,,,,,,,,,,,
20250605,虚拟电厂,1,,,,,,,,,,,,,,,,,
20250609,储能,1,,,,,,,,,,,,,,,,,
20250701,储能,1,,,,,,,,,,,,,,,,,
20250705,储能,1,,,,,,,,,,,,,,,,,
20250709,氢能,2,,,,,,,,,,,,,,,,,
20250709,氢能,2,,,,,,,,,,,,,,,,,
20250709,储能,1,,,,,,,,,,,,,,,,,
20250711,电化学储能,1,,,,,,,,,,,,,,,,,
20250712,储能,1,,,,,,,,,,,,,,,,,
20250807,储能,1,,,,,,,,,,,,,,,,,
20250807,虚拟电厂,1,,,,,,,,,,,,,,,,,
20250809,氢能,1,,,,,,,,,,,,,,,,,
20250811,储能,1,,,,,,,,,,,,,,,,,
20250826,抽水蓄能,1,,,,,,,,,,,,,,,,,
20250826,虚拟电厂,1,,,,,,,,,,,,,,,,,
20250829,碳达峰,1,,,,,,,,,,,,,,,,,
20250904,新型电力系统,3,,,,,,,,,,,,,,,,,
20250904,新型电力系统,3,,,,,,,,,,,,,,,,,
20250904,新型电力系统,3,,,,,,,,,,,,,,,,,
20250908,多能互补,1,,,,,,,,,,,,,,,,,
20250910,新型电力系统,1,,,,,,,,,,,,,,,,,
20250916,氢能,1,,,,,,,,,,,,,,,,,
20250916,新型电力系统,1,,,,,,,,,,,,,,,,,
20250918,氢能,1,,,,,,,,,,,,,,,,,
20250918,储能,1,,,,,,,,,,,,,,,,,
20251006,新型电力系统,1,,,,,,,,,,,,,,,,,
20251009,储能,1,,,,,,,,,,,,,,,,,
20251013,碳中和,1,,,,,,,,,,,,,,,,,
20251014,虚拟电厂,1,,,,,,,,,,,,,,,,,
20251020,储能,2,,,,,,,,,,,,,,,,,
20251020,氢能,1,,,,,,,,,,,,,,,,,
20251020,储能,2,,,,,,,,,,,,,,,,,
20251020,虚拟电厂,1,,,,,,,,,,,,,,,,,
20251027,新型电力系统,1,,,,,,,,,,,,,,,,,
20251030,碳中和,1,,,,,,,,,,,,,,,,,
20251030,碳达峰,1,,,,,,,,,,,,,,,,,
20251108,储能,4,,,,,,,,,,,,,,,,,
20251108,储能,4,,,,,,,,,,,,,,,,,
20251108,储能,4,,,,,,,,,,,,,,,,,
20251108,能效,1,,,,,,,,,,,,,,,,,
20251108,储能,4,,,,,,,,,,,,,,,,,
20251111,虚拟电厂,2,,,,,,,,,,,,,,,,,
20251111,虚拟电厂,2,,,,,,,,,,,,,,,,,
20251114,新型电力系统,1,,,,,,,,,,,,,,,,,
20251119,储能,2,,,,,,,,,,,,,,,,,
20251119,储能,2,,,,,,,,,,,,,,,,,
20251204,虚拟电厂,1,,,,,,,,,,,,,,,,,
20251204,抽水蓄能,1,,,,,,,,,,,,,,,,,
20251205,储能,1,,,,,,,,,,,,,,,,,
20251211,新型电力系统,1,,,,,,,,,,,,,,,,,
20251211,碳中和,1,,,,,,,,,,,,,,,,,
20251211,碳达峰,1,,,,,,,,,,,,,,,,,
20251215,氢能,1,,,,,,,,,,,,,,,,,
20251218,氢能,1,,,,,,,,,,,,,,,,,
20251218,储能,1,,,,,,,,,,,,,,,,,
20251225,抽水蓄能,1,,,,,,,,,,,,,,,,,
